Project ID,Lead CI,Institution,Title,FoR-08,MASSIVE Allocation kSU,Gadi Allocation kSU,Setonix CPU Allocation kSU,Setonix GPU Allocation kSU,Total Allocation kSU
NCMAS-2022-111,Igor Bray,Curtin University of Technology,Atomic Collision Theory,020201 Atomic and Molecular Physics: 100%,,500,2000,5000,7500
NCMAS-2022-137,Catherine Stampfl,University of Sydney,"First-Principles Investigations of Processes and Properties in Catalysis, Coatings, and Devices","030307 Theory and Design of Materials: 35%
020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 25%
030601 Catalysis and Mechanisms of Reactions: 25%
010506 Statistical Mechanics, Physical Combinatorics and Mathematical Aspects of Condensed Matter: 15%",,4000,,,4000
NCMAS-2022-24,Claudio Cazorla,University of NSW,Nano-structured multifunctional materials for solid-state cooling (continuation project),"020403 Condensed Matter Modelling and Density Functional Theory: 60%
100701 Environmental Nanotechnology: 20%
091305 Energy Generation, Conversion and Storage Engineering: 20%",,500,500,,1000
NCMAS-2022-157,Mark Krumholz,Australian National University,Star Formation and Feedback in a Turbulent Interstellar Medium,"020103 Cosmology and Extragalactic Astronomy: 35%
020104 Galactic Astronomy: 35%
020110 Stellar Astronomy and Planetary Systems: 20%
020106 High Energy Astrophysics; Cosmic Rays: 10%",,11000,,,11000
NCMAS-2022-101,Philipp Bayer,University of Western Australia,Machine learning for plant genomics,"060102 Bioinformatics: 34%
060799 Plant Biology not elsewhere classified: 33%
060408 Genomics: 33%",,,500,1000,1500
NCMAS-2022-76,Katrin Meissner,University of NSW,"Abrupt climate change events in the past, present and future","040104 Climate Change Processes: 50%
040503 Physical Oceanography: 20%
040605 Palaeoclimatology: 20%
040501 Biological Oceanography: 5%
040502 Chemical Oceanography: 5%",,5000,,,5000
NCMAS-2022-120,Michelle Coote,Australian National University,Computer-aided Chemical Design of Catalysts and Control Agents,"030305 Polymerisation Mechanisms: 20%
030701 Quantum Chemistry: 20%
030501 Free Radical Chemistry: 20%
030505 Physical Organic Chemistry: 20%
030601 Catalysis and Mechanisms of Reactions: 20%",,6000,,,6000
NCMAS-2022-21,Matthew Field,James Cook University,Developing Bioinformatics Capability to Diagnose Infectious Diseases using Clinical Metagenomics,"060102 Bioinformatics: 34%
060503 Microbial Genetics: 33%
080301 Bioinformatics Software: 33%",,800,,,800
NCMAS-2022-70,David Edwards,University of Western Australia,Analysis of complex genomes,060408 Genomics: 100%,,,500,1000,1500
NCMAS-2022-27,Sean Li,University of NSW,Accelerate Functional Material Designs Using Artificial Inetelligence,"020403 Condensed Matter Modelling and Density Functional Theory: 40%
020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 30%
030304 Physical Chemistry of Materials: 30%",,500,,,500
NCMAS-2022-55,Suresh Bhatia,University of Queensland,Interfacial Barriers for the Transport of Nanoconfined Fluids,"090499 Chemical Engineering not elsewhere classified: 60%
030607 Transport Properties and Non-Equilibrium Processes: 40%",,,500,1000,1500
NCMAS-2022-105,Neha Gandhi,Queensland University of Technology,Computational simulations of biomolecules involved in DNA repair pathways and the extracellular matrix,"060112 Structural Biology (incl. Macromolecular Modelling): 50%
030402 Biomolecular Modelling and Design: 50%",,500,,,500
NCMAS-2022-135,Luming Shen,University of Sydney,Modelling high strain rate responses of unsaturated porous media,"091402 Geomechanics and Resources Geotechnical Engineering: 60%
091307 Numerical Modelling and Mechanical Characterisation: 40%",,500,,,500
NCMAS-2022-132,Sang Lee,University of South Australia,Novel whole-genome approaches to capture the latent genetic architecture of complex traits,"060412 Quantitative Genetics (incl. Disease and Trait Mapping Genetics): 20%
070200 Animal Production: 20%
070201 Animal Breeding: 20%
060400 Genetics: 20%
060408 Genomics: 20%",,1500,,,1500
NCMAS-2022-118,Richard O'Hair,University of Melbourne,Catalysis and Organometallic Chemistry,"030200 Inorganic Chemistry: 34%
030700 Theoretical and Computational Chemistry: 34%
030207 Transition Metal Chemistry: 32%",,500,,,500
NCMAS-2022-30,Rongkun Zheng,University of Sydney,Understanding the growth-structure-property relationships in functional materials from density-functional theory calculations,"020403 Condensed Matter Modelling and Density Functional Theory: 34%
091205 Functional Materials: 33%
020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 33%",,500,,,500
NCMAS-2022-140,Callum Shakespeare,Australian National University,Parameterising unresolved ocean dynamics and thermodynamics,"040503 Physical Oceanography: 50%
040403 Geophysical Fluid Dynamics: 50%",,1500,,,1500
NCMAS-2022-138,Julian Gale,Curtin University of Technology,Atomistic Simulation for Geochemistry and Nanoscience,"030600 Physical Chemistry (including Structural): 30%
020406 Surfaces and Structural Properties of Condensed Matter: 25%
030704 Statistical Mechanics in Chemistry: 20%
030701 Quantum Chemistry: 15%
040306 Mineralogy and Crystallography: 10%",,4000,6000,12000,22000
NCMAS-2022-10,Maria Forsyth,Deakin University,Computational investigation of new selective transport materials,"030607 Transport Properties and Non-Equilibrium Processes: 20%
030304 Physical Chemistry of Materials: 20%
020405 Soft Condensed Matter: 20%
020403 Condensed Matter Modelling and Density Functional Theory: 20%
091205 Functional Materials: 20%",,1100,,,1100
NCMAS-2022-75,Steven Sherwood,University of NSW,Rethinking atmospheric physics to resolve climate enigmas,"040104 Climate Change Processes: 50%
040106 Cloud Physics: 40%
040107 Meteorology: 10%",,1500,,,1500
NCMAS-2022-125,Ian Young,University of Melbourne,Global and regional projections of ocean wave climate over the 21st century,"040500 Oceanography: 60%
040104 Climate Change Processes: 40%",,1000,,,1000
NCMAS-2022-92,Jason Evans,University of NSW,Regional Climate Modelling in Australia,"040104 Climate Change Processes: 50%
040100 Atmospheric Sciences: 20%
040608 Surfacewater Hydrology: 15%
050101 Ecological Impacts of Climate Change: 10%
040607 Surface Processes: 5%",,750,500,2000,3250
NCMAS-2022-122,Alister Page,University of Newcastle,Quantum Chemical Modelling of Nanoscale Chemical Processes,"030701 Quantum Chemistry: 40%
030601 Catalysis and Mechanisms of Reactions: 30%
030799 Theoretical and Computational Chemistry not elsewhere classified: 10%
030602 Chemical Thermodynamics and Energetics: 10%
030699 Physical Chemistry not elsewhere classified: 10%",,500,,,500
NCMAS-2022-109,Wei Wen,University of NSW,Joint Analysis of Imaging and Genomic Data to Study the Structure and Function of Human Brain,"110319 Psychiatry (incl. Psychotherapy): 20%
110901 Autonomic Nervous System: 20%
110320 Radiology and Organ Imaging: 20%
060412 Quantitative Genetics (incl. Disease and Trait Mapping Genetics): 20%
060410 Neurogenetics: 20%",,500,,,500
NCMAS-2022-52,Eduardo Eyras,Australian National University,Comprehensive characterisation of the ribosomal DNA in brain cancer,"060102 Bioinformatics: 34%
060408 Genomics: 33%
111203 Cancer Genetics: 33%",,2000,,,2000
NCMAS-2022-136,Naotsugu Tsuchiya,Monash University,Computational approaches towards the neuronal basis of consciousness,"170112 Sensory Processes, Perception and Performance: 60%
110906 Sensory Systems: 30%
170201 Computer Perception, Memory and Attention: 10%",75,,,,75
NCMAS-2022-115,George Zhao,University of Queensland,Atomic-Scale Design of Electrode Materials for Sodium-Ion Batteries and Sodium-Sulfur Batteries,"091305 Energy Generation, Conversion and Storage Engineering: 100%",,500,500,,1000
NCMAS-2022-7,Timothy Duignan,University of Queensland,Predicting electrolyte solution properties from first principles.,"030600 Physical Chemistry (including Structural): 25%
030605 Solution Chemistry: 25%
030700 Theoretical and Computational Chemistry: 25%
030704 Statistical Mechanics in Chemistry: 25%",,1000,,,1000
NCMAS-2022-17,Aibing Yu,Monash University,Simulation and Modelling of Particulate Systems,"090407 Process Control and Simulation: 20%
091501 Computational Fluid Dynamics: 20%
091404 Mineral Processing/Beneficiation: 20%
090406 Powder and Particle Technology: 20%
100708 Nanomaterials: 20%",,2000,1500,1500,5000
NCMAS-2022-11,Brian Yates,University of Tasmania,Designing Better Catalysts,"030207 Transition Metal Chemistry: 25%
030601 Catalysis and Mechanisms of Reactions: 25%
030701 Quantum Chemistry: 25%
039904 Organometallic Chemistry: 25%",,500,,,500
NCMAS-2022-5,Elizabeth Krenske,University of Queensland,Computational Investigations of Molecular Structure and Reactivity,"030307 Theory and Design of Materials: 20%
030503 Organic Chemical Synthesis: 20%
030402 Biomolecular Modelling and Design: 20%
030601 Catalysis and Mechanisms of Reactions: 20%
030701 Quantum Chemistry: 20%",,1500,,,1500
NCMAS-2022-40,Nicolas Flament,University of Wollongong,4D relationships between supercontinents and mantle convection,"040402 Geodynamics: 65%
040313 Tectonics: 25%
040314 Volcanology: 10%",,500,,,500
NCMAS-2022-41,Simon Ringer,University of Sydney,Exploring structure-property correlations in advanced materials: Nexus between computational simulation and atomic resolution microscopy,"020403 Condensed Matter Modelling and Density Functional Theory: 50%
091207 Metals and Alloy Materials: 30%
020401 Condensed Matter Characterisation Technique Development: 20%",,6000,4000,5000,15000
NCMAS-2022-146,Yun Wang,Griffith University,A theoretical understanding of electrocatalytic reactions for hydrogen economy under industrial conditions,"030604 Electrochemistry: 50%
030603 Colloid and Surface Chemistry: 30%
090402 Catalytic Process Engineering: 20%",,1000,900,1500,3400
NCMAS-2022-104,Rhodri Davies,Australian National University,Revealing the 4-D Evolution of Earth's Engine,"040402 Geodynamics: 70%
040313 Tectonics: 20%
040303 Geochronology: 10%",,1000,,,1000
NCMAS-2022-156,Lars Goerigk,University of Melbourne,Theoretical and Computational Quantum Chemistry Including Development of Computational Methods and Computational Materials Science,"030701 Quantum Chemistry: 80%
030303 Optical Properties of Materials: 20%",,1400,,,1400
NCMAS-2022-47,Hugh Blackburn,Monash University,Simulation of Transitional and Turbulent Flows for Engineering Applications,"010204 Dynamical Systems in Applications: 25%
010207 Theoretical and Applied Mechanics: 25%
091508 Turbulent Flows: 25%
090101 Aerodynamics (excl. Hypersonic Aerodynamics): 25%",,500,500,1000,2000
NCMAS-2022-95,Nicole STANFORD,University of South Australia,A first principles approach to understanding real engineering materials,"091200 Materials Engineering: 50%
020403 Condensed Matter Modelling and Density Functional Theory: 50%",,700,,,700
NCMAS-2022-19,Aijun Du,Queensland University of Technology,"Nanomaterials for Energy, Nanoelectronics and Environmental Applications: Contribution from Modelling towards Rational Design","020403 Condensed Matter Modelling and Density Functional Theory: 40%
030799 Theoretical and Computational Chemistry not elsewhere classified: 40%
100708 Nanomaterials: 20%",,4000,4000,2500,10500
NCMAS-2022-112,Martin Lambert,University of Adelaide,Unveiling the physics of unsteady turbulent flows by using direct numerical simulation,"020303 Fluid Physics: 40%
091501 Computational Fluid Dynamics: 30%
091305 Energy Generation, Conversion and Storage Engineering: 15%
091504 Fluidisation and Fluid Mechanics: 15%",,500,500,1000,2000
NCMAS-2022-49,Maryam Ghodrat,UNSW Canberra,CFD Simulation of fire-wind interaction and its effect on buildings in bushfire prone areas,"070503 Forestry Fire Management: 50%
091502 Computational Heat Transfer: 30%
091300 Mechanical Engineering: 20%",,500,,,500
NCMAS-2022-46,Rey Cheng Chin,University of Adelaide,Numerical simulations of rough wall turbulence: A control's approach,091508 Turbulent Flows: 100%,,3000,1000,3000,7000
NCMAS-2022-31,Fabio Capitanio,Monash University,4-D Numerical Models of Plate Tectonics on Earth and other planets,"040403 Geophysical Fluid Dynamics: 50%
040402 Geodynamics: 50%",,1500,,,1500
NCMAS-2022-152,Megan O'Mara,Australian National University,Modelling the dynamics of the cell membrane,"030403 Characterisation of Biological Macromolecules: 30%
030402 Biomolecular Modelling and Design: 25%
060112 Structural Biology (incl. Macromolecular Modelling): 25%
060110 Receptors and Membrane Biology: 20%",,3000,1000,,4000
NCMAS-2022-141,Susanna Guatelli,University of Wollongong,Development of Monte Carlo particle transport simulation tools for bio-medical applications,"029904 Synchrotrons; Accelerators; Instruments and Techniques: 60%
029903 Medical Physics: 40%",,500,,,500
NCMAS-2022-68,Elizabeth Ritchie-Tyo,UNSW Canberra,Tropical Cyclone Studies,"040100 Atmospheric Sciences: 34%
040107 Meteorology: 33%
040102 Atmospheric Dynamics: 33%",,500,,,500
NCMAS-2022-16,Yuantong Gu,Queensland University of Technology,Atomistic investigation on the mechanical and thermal transport properties of nanocomposites,"091307 Numerical Modelling and Mechanical Characterisation: 60%
100712 Nanoscale Characterisation: 40%",,500,,,500
NCMAS-2022-66,Jian-Feng Nie,Monash University,Large-scale atomic simulations of chemical short-range ordered solute clusters and lattice defects in Mg and Zn alloys by DFT calculations and deep learning,091207 Metals and Alloy Materials: 100%,,1500,1200,1200,3900
NCMAS-2022-158,Martina Lessio,University of NSW,Computational Design of Metal-Organic Frameworks for Heavy Metal Removal from Water,"030700 Theoretical and Computational Chemistry: 70%
030207 Transition Metal Chemistry: 10%
030206 Solid State Chemistry: 10%
030200 Inorganic Chemistry: 10%",,500,,,500
NCMAS-2022-143,Justin Leontini,Swinburne University of Technology,Oscillatory flows in complex geometries,"091504 Fluidisation and Fluid Mechanics: 70%
091501 Computational Fluid Dynamics: 30%",,1000,500,1000,2500
NCMAS-2022-59,John Young,UNSW Canberra,Fluid-Structure Interactions in Biological and Biomedical Systems,"091501 Computational Fluid Dynamics: 40%
090101 Aerodynamics (excl. Hypersonic Aerodynamics): 30%
090302 Biomechanical Engineering: 20%
091305 Energy Generation, Conversion and Storage Engineering: 10%",,1000,,,1000
NCMAS-2022-124,Nicholas Williamson,University of Sydney,TRANSITION AND TURBULENCE IN LOW AND HIGH TEMPERATURE NATURAL CONVECTION,"091502 Computational Heat Transfer: 50%
091501 Computational Fluid Dynamics: 30%
091508 Turbulent Flows: 20%",,500,,,500
NCMAS-2022-45,Difei Deng,UNSW Canberra,Rainfall Study Following the Landfall of Tropical Cyclones over Australia,"040107 Meteorology: 50%
040100 Atmospheric Sciences: 50%",,500,,,500
NCMAS-2022-90,Merlinde Kay,University of NSW,Australian Solar Resource Assessment and Forecasting,"090608 Renewable Power and Energy Systems Engineering (excl. Solar Cells): 50%
040103 Atmospheric Radiation: 25%
040106 Cloud Physics: 25%",,500,,,500
NCMAS-2022-100,Michael Richardson,Macquarie University,Human-AI: Developing Artificial Agents for Multiagent and Human-AI Teaming,"170000 Psychology and Cognitive Sciences: 30%
080107 Natural Language Processing: 20%
080100 Artificial Intelligence and Image Processing: 20%
080111 Virtual Reality and Related Simulation: 10%
170203 Knowledge Representation and Machine Learning: 10%
080602 Computer-Human Interaction: 10%",50,,,,50
NCMAS-2022-48,Tim Silk,Deakin University,Neuroimaging of the Children's Attention Project (NICAP),"170101 Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology): 100%",50,,,,50
NCMAS-2022-81,Moninya Roughan,University of NSW,Advancing dynamical understanding in the East Australian Current  Optimising the ocean observation and prediction effort,040503 Physical Oceanography: 100%,,1000,,,1000
NCMAS-2022-32,Daniel Chung,University of Melbourne,Direct numerical simulation of wall-bounded and buoyancy-driven turbulent flows,091508 Turbulent Flows: 100%,,3500,2000,4500,10000
NCMAS-2022-64,Liangzhi Kou,Queensland University of Technology,2D functional materials for physical and chemical applications,"020403 Condensed Matter Modelling and Density Functional Theory: 55%
030799 Theoretical and Computational Chemistry not elsewhere classified: 45%",,1500,,,1500
NCMAS-2022-26,Martin Singh,Monash University,Understanding climate change and variability using idealised and comprehensive climate models,"040104 Climate Change Processes: 25%
040102 Atmospheric Dynamics: 25%
040107 Meteorology: 20%
040103 Atmospheric Radiation: 20%
040105 Climatology (excl. Climate Change Processes): 10%",,1900,,,1900
NCMAS-2022-85,Richard Sandberg,University of Melbourne,High-fidelity simulations of turbulent flows in power generation and transport,"091508 Turbulent Flows: 50%
091501 Computational Fluid Dynamics: 30%
091502 Computational Heat Transfer: 20%",,7000,10000,19000,36000
NCMAS-2022-149,Christoph Federrath,Australian National University,From Interstellar Turbulence to the Formation of Stars,"020110 Stellar Astronomy and Planetary Systems: 50%
020103 Cosmology and Extragalactic Astronomy: 25%
020104 Galactic Astronomy: 25%",,18000,,,18000
NCMAS-2022-6,Michelle Spencer,Royal Melbourne Institute of Technology,Modelling Nanoscale Materials for Sensing and Device Applications,"020403 Condensed Matter Modelling and Density Functional Theory: 50%
030799 Theoretical and Computational Chemistry not elsewhere classified: 50%",,2000,3000,2000,7000
NCMAS-2022-72,Ashish Sharma,University of NSW,Dynamical downscaling hydro-climatic simulations for water resources planning and management in a changing climate,"040107 Meteorology: 30%
090509 Water Resources Engineering: 30%
040105 Climatology (excl. Climate Change Processes): 30%
040104 Climate Change Processes: 10%",,500,,,500
