Project ID,Lead CI,Institution,Title,FoR-08,Gadi Allocation kSU,Setonix CPU Allocation kSU,Setonix GPU Allocation kSU,Total Allocation kSU
NCMAS-2024-1,Jason Evans,University of NSW,Regional Climate Modelling in Australia,"040104 Climate Change Processes: 50%
040100 Atmospheric Sciences: 25%
040608 Surfacewater Hydrology: 15%
050101 Ecological Impacts of Climate Change: 10%",,1000,,1000
NCMAS-2024-2,Danial Jahed Armaghani,"University of Technology, Sydney",Insights into the initial hydration mechanism of cementitious materials: extended simulation and a comprehensive comparison,"030700 Theoretical and Computational Chemistry: 40%
030206 Solid State Chemistry: 40%
090500 Civil Engineering: 20%",,1000,,1000
NCMAS-2024-3,Matthew Whiting,CSIRO,ASKAP Survey Science,"020103 Cosmology and Extragalactic Astronomy: 60%
020104 Galactic Astronomy: 25%
020110 Stellar Astronomy and Planetary Systems: 15%",,5000,,5000
NCMAS-2024-4,Elizabeth Krenske,University of Queensland,Computational Investigations of Molecular Structure and Reactivity,"030601 Catalysis and Mechanisms of Reactions: 30%
030503 Organic Chemical Synthesis: 30%
030402 Biomolecular Modelling and Design: 20%
030701 Quantum Chemistry: 10%
030307 Theory and Design of Materials: 10%",,290,1000,1290
NCMAS-2024-5,Alister Page,University of Newcastle,Revealing Quantum Aspects of Electrolyte Underscreening,"030700 Theoretical and Computational Chemistry: 80%
030603 Colloid and Surface Chemistry: 20%",1200,,,1200
NCMAS-2024-6,Sang Lee,University of South Australia,Novel whole-genome approaches to capture the latent genetic architecture of complex traits,"060400 Genetics: 20%
060408 Genomics: 20%
060412 Quantitative Genetics (incl. Disease and Trait Mapping Genetics): 20%
070200 Animal Production: 20%
070201 Animal Breeding: 20%",1000,,,1000
NCMAS-2024-7,Rongkun Zheng,University of Sydney,Atomistic simulation of advanced materials with combining first-principle calculation and deep-learning method: from microstructure to functionality,"020403 Condensed Matter Modelling and Density Functional Theory: 60%
091205 Functional Materials: 20%
020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 20%",1000,4000,200,5200
NCMAS-2024-8,Matthew Field,James Cook University,Developing Bioinformatics Capability to Diagnose Infectious Diseases using Clinical Metagenomics,"060102 Bioinformatics: 34%
060503 Microbial Genetics: 33%
080301 Bioinformatics Software: 33%",1000,,,1000
NCMAS-2024-9,Aijun Du,Queensland University of Technology,Computational Design and Discovery of Novel Nanomaterials for Low Energy Electronics and Sustainable Energy/Environmental Applications,"020403 Condensed Matter Modelling and Density Functional Theory: 40%
030799 Theoretical and Computational Chemistry not elsewhere classified: 40%
100708 Nanomaterials: 20%",1000,11000,,12000
NCMAS-2024-10,Hugh Blackburn,Monash University,Simulation of Transitional and Turbulent Flows for Engineering Applications,"090101 Aerodynamics (excl. Hypersonic Aerodynamics): 25%
010207 Theoretical and Applied Mechanics: 25%
010204 Dynamical Systems in Applications: 25%
091508 Turbulent Flows: 25%",1000,,,1000
NCMAS-2024-11,Lars Goerigk,University of Melbourne,Theoretical and Computational Quantum Chemistry Including Development of Computational Methods and Computational Materials Science,"030701 Quantum Chemistry: 80%
030303 Optical Properties of Materials: 20%",1000,,,1000
NCMAS-2024-12,Catherine Stampfl,University of Sydney,"First-Principles Investigations of Processes and Properties in Catalysis, Coatings, and Devices","030601 Catalysis and Mechanisms of Reactions: 40%
030307 Theory and Design of Materials: 35%
020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 25%",,500,500,1000
NCMAS-2024-13,Sean Li,University of NSW,Accelerate Functional Material Designs Using Artificial Inetelligence,"020403 Condensed Matter Modelling and Density Functional Theory: 40%
030304 Physical Chemistry of Materials: 30%
020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 30%",1000,,,1000
NCMAS-2024-14,Dino Spagnoli,University of Western Australia,Computer Simulations of Co-Crystal and Defect Formations in Solids,"020403 Condensed Matter Modelling and Density Functional Theory: 30%
030700 Theoretical and Computational Chemistry: 30%
020404 Electronic and Magnetic Properties of Condensed Matter; Superconductivity: 20%
040302 Extraterrestrial Geology: 20%",,1000,,1000
NCMAS-2024-15,Nicolas Flament,University of Wollongong,The influence of mantle dynamics on the evolution of complex life,"040402 Geodynamics: 65%
040313 Tectonics: 25%
040314 Volcanology: 10%",2250,,,2250
NCMAS-2024-16,Con Doolan,University of NSW,Aeroacoustics of turbulent flow interaction,"091301 Acoustics and Noise Control (excl. Architectural Acoustics): 100%
091508 Turbulent Flows: 0%",1500,,,1500
NCMAS-2024-17,Andrew Hung,Royal Melbourne Institute of Technology,Discovery and Design of Neuroactive Peptides for Potential Treatment of Pain,"030402 Biomolecular Modelling and Design: 50%
030406 Proteins and Peptides: 30%
030401 Biologically Active Molecules: 10%
060102 Bioinformatics: 10%",1000,1060,,2060
NCMAS-2024-18,Allan Canty,University of Tasmania,Computation to Guide Catalysis Advancement,039904 Organometallic Chemistry: 100%,1000,,,1000
NCMAS-2024-19,Joss Bland-Hawthorn,University of Sydney,What leads to the rapid onset of galactic bars at early cosmic times?,"020104 Galactic Astronomy: 50%
020103 Cosmology and Extragalactic Astronomy: 50%",1000,,,1000
NCMAS-2024-20,Antoine de Weck,Children's Cancer Institute,Computational Exploration of Cryptic Exons as Small Molecule targets for Oncogene Therapy,"060102 Bioinformatics: 34%
111203 Cancer Genetics: 33%
080301 Bioinformatics Software: 33%",1000,,,1000
NCMAS-2024-21,Robert Weatheritt,University of NSW,Characterisation of mRNA transcript structure and cell type expression,"060114 Systems Biology: 40%
060102 Bioinformatics: 30%
060409 Molecular Evolution: 30%",2000,,,2000
NCMAS-2024-22,Callum Shakespeare,Australian National University,Parameterising unresolved ocean dynamics and thermodynamics,"040503 Physical Oceanography: 50%
040403 Geophysical Fluid Dynamics: 50%",1000,,,1000
NCMAS-2024-23,Adele Morrison,Australian National University,"The Ocean’s role in the climate system: from kilometres to global scales, from weeks to centuries","040503 Physical Oceanography: 50%
040104 Climate Change Processes: 30%
020303 Fluid Physics: 20%",5000,,,5000
